training_regime,training_seed,scenario,test_seed,snr_db,method,estimator,equalizer,frames,bit_errors,total_bits,ber,symbol_errors,total_symbols,ser,evm_rms,evm_db,channel_mse,channel_nmse,pilot_nmse,data_nmse,deep_fade_nmse,estimator_time_ms
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-sample-1000+ZF,LMMSE-sample-1000,ZF,60,3092,161520,0.0191431401684002,2489,40380,0.0616394254581476,0.28423356956665485,-10.926492615673508,0.004466919434101631,0.004466919527233889,0.003489096008706838,0.0036846441061546406,0.03353448746105035,0.010843334894161671
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-sample-1000+MMSE,LMMSE-sample-1000,MMSE,60,3092,161520,0.0191431401684002,2489,40380,0.0616394254581476,0.2842335740410267,-10.926492478941244,0.004466919434101631,0.004466919527233889,0.003489096008706838,0.0036846441061546406,0.03353448746105035,0.010843334894161671
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-sample-10000+ZF,LMMSE-sample-10000,ZF,60,3094,161520,0.019155522535908867,2489,40380,0.0616394254581476,0.28443117121490863,-10.920456207733908,0.004437802080065012,0.004437802173197269,0.0034921195164012413,0.003688325472952177,0.03354557109996677,0.00969500057787324
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-sample-10000+MMSE,LMMSE-sample-10000,MMSE,60,3094,161520,0.019155522535908867,2489,40380,0.0616394254581476,0.28443116868947277,-10.920456284855053,0.004437802080065012,0.004437802173197269,0.0034921195164012413,0.003688325472952177,0.03354557109996677,0.00969500057787324
baseline,0,matched_12tap_exponential,8101,20.0,PerfectCSI+ZF,PerfectCSI,ZF,60,2206,161520,0.013657751362060426,1746,40380,0.04323922734026746,0.697558269282547,-3.1283901705239043,0.0,0.0,0.0,0.0,0.0,0.0020399956459489963
baseline,0,matched_12tap_exponential,8101,20.0,PerfectCSI+MMSE,PerfectCSI,MMSE,60,2206,161520,0.013657751362060426,1746,40380,0.04323922734026746,0.6975582697214581,-3.1283901650586503,0.0,0.0,0.0,0.0,0.0,0.0020399956459489963
baseline,0,matched_12tap_exponential,8101,30.0,LS-linear+ZF,LS-linear,ZF,60,29631,161520,0.18345096582466566,20293,40380,0.5025507677067855,2.020579073397075,6.109517016068786,0.29695157644649345,0.2969515771915515,0.0008625813953888913,0.3042225661377112,1.6221515948573748,0.20482166388925785
baseline,0,matched_12tap_exponential,8101,30.0,LS-linear+MMSE,LS-linear,MMSE,60,29631,161520,0.18345096582466566,20293,40380,0.5025507677067855,2.020579041773109,6.10951688012643,0.29695157644649345,0.2969515771915515,0.0008625813953888913,0.3042225661377112,1.6221515948573748,0.20482166388925785
baseline,0,matched_12tap_exponential,8101,30.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,60,248,161520,0.0015354135710747895,189,40380,0.004680534918276374,0.08820984929853859,-21.089658397774123,0.03143457811481009,0.03143457829331358,0.0004962221171202449,0.0005506605608388782,0.004470991224904234,0.033198334373688944
baseline,0,matched_12tap_exponential,8101,30.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,60,248,161520,0.0015354135710747895,189,40380,0.004680534918276374,0.08820985136861853,-21.089658193936508,0.03143457811481009,0.03143457829331358,0.0004962221171202449,0.0005506605608388782,0.004470991224904234,0.033198334373688944
